month,month_index,region,therapy,observed_sales_units,latent_demand_units,unmet_demand_units,new_starts,active_patients_end,patient_months,supply_constrained,supply_fill_rate,supply_known_from_month,market_regime,launch_month,launch_known_from_month,therapy_launched,access_rate_truth,access_regime,access_known_from_month,population,new_diagnosed_nsclc_cases,new_metastatic_diagnoses,epidemiology_regime,epidemiology_known_from_month,eligible_new_1l_patient_pool,eligible_initial_active_pool,competitor_overlap_pressure_truth,competitor_overlap_known_from_month
2014-01-01,1,East,Therapy A,63.76152530320744,63.76152530320744,0.0,7.506362161963289,58.66060327895084,63.76152530320744,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9000000.0,289.87875,138.915,baseline,1,41.6745,224.8722,0.0,
2014-02-01,2,East,Therapy A,67.0843566049969,67.0843566049969,0.0,8.423753326046057,61.717608076597145,67.0843566049969,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9003741.43360256,289.9992568995464,138.9727490276555,baseline,1,41.69182470829665,0.0,0.0,
2014-03-01,3,East,Therapy A,71.09887387477927,71.09887387477927,0.0,9.381265798182126,65.41096396479693,71.09887387477927,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9007484.422574611,290.11981389560003,139.03052206243916,baseline,1,41.70915661873175,0.0,0.0,
2014-04-01,4,East,Therapy A,75.77623990190378,75.77623990190378,0.0,10.365275937106846,69.71414070975148,75.77623990190378,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9011228.96756274,290.2404210089864,139.08831911433091,baseline,1,41.72649573429927,0.0,0.0,
2014-05-01,5,East,Therapy A,81.0746931421247,81.0746931421247,0.0,11.360552432373224,74.58871769075472,81.0746931421247,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9014975.06921381,290.3610782605403,139.14614019331518,baseline,1,41.74384205799455,0.0,0.0,
2014-06-01,6,East,Therapy A,86.93989397082198,86.93989397082198,0.0,12.351176280067268,79.98470245315623,86.93989397082198,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9018722.728174943,290.4817856711047,139.20398530938027,baseline,1,41.76119559281408,0.0,0.0,
2014-07-01,7,East,Therapy A,93.30625297351853,93.30625297351853,0.0,13.321550520362292,85.84175273563704,93.30625297351853,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9022471.94509354,290.60254326153154,139.2618544725188,baseline,1,41.77855634175564,0.0,0.0,
2014-08-01,8,East,Therapy A,100.09911898075576,100.09911898075576,0.0,14.257366245118696,92.09118946229528,100.09911898075576,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9026222.720617265,290.72335105268127,139.31974769272747,baseline,1,41.79592430781824,0.0,0.0,
2014-09-01,9,East,Therapy A,107.23759068086814,107.23759068086814,0.0,15.146401218572851,98.65858342639868,107.23759068086814,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9029975.055394055,290.8442090654233,139.37766498000727,baseline,1,41.81329949400218,0.0,0.0,
2014-10-01,10,East,Therapy A,114.6376469865674,114.6376469865674,0.0,15.979063560168695,105.466635227642,114.6376469865674,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9033728.950072115,290.9651173206353,139.43560634436312,baseline,1,41.830681903308935,0.0,0.0,
2014-11-01,11,East,Therapy A,122.21527907425512,122.21527907425512,0.0,16.748643846613124,112.43805674831472,122.21527907425512,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9037484.40529992,291.0860758392037,139.49357179580423,baseline,1,41.84807153874127,0.0,0.0,
2014-12-01,12,East,Therapy A,129.88934673537585,129.88934673537585,0.0,17.45128998706113,119.49819899654578,129.88934673537585,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9041241.42172621,291.2070846420241,139.5515613443441,baseline,1,41.86546840330322,0.0,0.0,
2015-01-01,13,East,Therapy A,137.5839570274724,137.5839570274724,0.0,18.085758030926613,126.5772404652746,137.5839570274724,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9044999.999999998,291.3281437499999,139.60957499999998,baseline,1,41.88287249999999,0.0,0.0,
2015-02-01,14,East,Therapy A,145.23025293849264,145.23025293849264,0.0,18.65301247321803,133.61183270341323,145.23025293849264,0,1.0,,early_market_before_b_launch,1,1,True,0.55,baseline,1.0,9048760.140770571,291.4492531840441,139.66761277279377,baseline,1,41.90028383183813,0.0,0.0,
