horizon_months,target_market_regime,naive_mae,naive_wape,naive_bias,seasonal_naive_mae,seasonal_naive_wape,seasonal_naive_bias,historical_xgboost_mae,historical_xgboost_wape,historical_xgboost_bias,patient_driver_mae,patient_driver_wape,patient_driver_bias,hybrid_xgboost_mae,hybrid_xgboost_wape,hybrid_xgboost_bias,n_forecasts,total_actual_sales,seasonal_naive_fva_vs_naive,historical_xgboost_fva_vs_naive,patient_driver_fva_vs_naive,hybrid_xgboost_fva_vs_naive
1,access_expansion,0.9176629050944133,0.002209390699064954,-0.0017054185115058832,16.140270687455764,0.0388597640149643,-0.03024577349827789,5.256321328811563,0.012655265229423413,-0.002347699453084598,2.8046059310966838,0.006752447139693303,-0.005058263157283772,3.3469836271565794,0.008058290745665065,-0.002956914643731156,176,73101.0008166367,-16.58845279443347,-4.7279435614440235,-2.0562485587320687,-2.647290969892944
1,b_launch_growth,2.9951618356792338,0.007787340139606838,-0.006269184570054931,51.91065903399846,0.13496631599448344,-0.11531541015122052,6.955861831980587,0.018085053503447034,-0.01225052764120663,10.508880333827104,0.027322805956953623,-0.02385267941430313,4.830948382064459,0.012560335738749111,-0.007955164669596082,144,55385.18885853945,-16.331503899263033,-1.3223659400037586,-2.5086185356137634,-0.6129173136879635
1,epidemiology_change,2.7154974993759105,0.005756160353951443,-0.00508091445722938,37.5627561362534,0.07962343832256898,-0.048033745649003264,7.428127278751818,0.015745730480651587,-0.01200689648529843,6.998092766592305,0.014834167273433632,-0.001916352265798908,5.325175745356908,0.011288010948377598,-0.008343956893938208,205,96709.77754987635,-12.832734570695152,-1.7354572340644718,-1.5770941671648167,-0.9610313567148444
1,limited_supply,20.316928048021254,0.14208115913816985,0.12323818739502755,8.74162321562605,0.06113227138914094,0.06113227138914094,21.418967432278333,0.14978798532572485,0.1459522262585769,16.837401556056232,0.1177479943968344,0.1177479943968344,22.423579614434875,0.15681347968135553,0.1287694741288183,3,428.98569038834256,0.5697369604812166,-0.054242421967154224,0.17126243119731416,-0.10368947320354366
1,overlapping_competitor_launch,2.6721837651338882,0.006257929955853866,-0.0015469985941257926,20.730306168785,0.0485478602408775,-0.01713276371710652,6.600394375080875,0.015457322291679447,-0.0024233397769212505,12.763876181317842,0.029891448391415724,0.007051116378440252,3.8243360735523737,0.008956130782695939,-0.00015845263214550145,112,47824.85323521961,-6.757814578199983,-1.4700376004081313,-3.776571262747087,-0.4311650730954715
1,persistence_change,3.8454882736577325,0.008855517685930238,-0.00021932908169486709,49.056003409087175,0.11296778845122303,-0.013352132725438972,8.01171589026458,0.018449644547583667,0.005237487675584604,8.97332660608287,0.020664073534207284,-0.0024675286601154303,3.7765324511838174,0.008696723935433427,0.001533712792015283,96,41687.780134828194,-11.756768430456384,-1.0834066625937298,-1.3334687216579821,0.017931616888881036
3,access_expansion,2.9024817921528223,0.0069904796513027365,-0.005410686900743607,19.99500671491197,0.048156955866579386,-0.03747193535579939,8.654283014226099,0.0208434001105965,-0.008165193793415975,5.00843503966773,0.01206256084855586,-0.009167750040564061,8.434926137316891,0.020315090238488813,-0.012641808426873773,176,73076.07215818128,-5.888934417769876,-1.9816838257603897,-0.7255698393039305,-1.9061082002724834
3,b_launch_growth,9.03718410510593,0.023357289714872317,-0.01873478776872773,60.5030199170243,0.15637465701602654,-0.13339675738784315,12.431660357312268,0.032130571782706,-0.01543051394528608,16.716433026456716,0.0432048926587219,-0.03674165200796409,10.20973050830648,0.026387825081327122,-0.015178578508466465,128,49524.56297688571,-5.694897350031921,-0.37561216112533213,-0.8497391258204068,-0.12974687574839508
3,epidemiology_change,7.701127270235827,0.016294011088793584,-0.013482673009911544,44.57369371789134,0.09430882443857726,-0.05305832201096239,12.606097788405155,0.026671926062637307,-0.021611159735536338,11.227354050439343,0.023754786147050417,-0.008439718176405767,10.604250066121343,0.02243642548715211,-0.015894002871571434,204,96417.63188737516,-4.787944044265403,-0.6369159145215795,-0.4578844961869504,-0.37697374605219525
3,limited_supply,28.918196747074482,0.198412729898411,0.1589394087419483,4.088196628946839,0.028049821384277144,0.02208421515621585,33.639878841432406,0.23080900419752606,0.19610320314800087,24.454023857052796,0.1677832706138417,0.14321738547792118,33.8891807518328,0.23251950755442832,0.1855639238764464,4,582.9907539073898,0.8586289226571355,-0.16327719655740958,0.1543724502971751,-0.17189813210815802
3,overlapping_competitor_launch,7.054574433555751,0.016537689499676288,-0.004362854183299427,20.497499599917937,0.0480512732689849,-0.019311059199459683,13.750197046084324,0.03223390602073397,0.0024199387756690255,22.397674448943636,0.05250575907025559,0.021534429082859335,8.573342591942355,0.020098062483469875,-0.008002915503806452,112,47776.46457648814,-1.9055614612866851,-0.9491178632519932,-2.1749150370300128,-0.21528841642983312
3,persistence_change,11.854916462760796,0.027302883483399196,-0.0007654795561484634,55.37988307192921,0.12754459296164708,-0.016497074464198642,13.939154145784045,0.03210306059051323,0.0062683117916520455,16.159494871482305,0.037216694610425,-0.003755889157954622,8.389889020049543,0.019322629819672057,0.0033173628047009148,96,41683.21566170882,-3.6714697016964246,-0.1758120936212711,-0.3631049128218869,0.29228611214560263
6,access_expansion,6.025282305987307,0.014494543012437393,-0.01125692077675484,25.357900829466015,0.061001487666823895,-0.047526954304503745,13.73013174781255,0.033029487263583235,-0.017864886178322836,8.31957839412788,0.020013748859402474,-0.015234779370272034,17.81574839445257,0.042857930680783474,-0.03269988669810123,176,73161.99516906615,-3.2085830242788673,-1.2787532684018725,-0.38077818957308224,-1.9568321432423352
6,b_launch_growth,17.681792065220936,0.04520727587551838,-0.03613900500964665,71.62675042227106,0.18312907732783312,-0.15592236275752255,31.236616778235554,0.0798630787480588,-0.057950839922554495,25.42651712421981,0.0650083187240464,-0.053586652030949415,22.852608589362315,0.05842757211281765,-0.04302964549517681,112,43806.23855234755,-3.050876187100784,-0.7665979026908804,-0.438005663138201,-0.2924373561836008
